,count,mean,std,min,25%,50%,75%,max
aggregate_rating,9551.0,2.66637001361114,1.5163775396521328,0.0,2.5,3.2,3.7,4.9
country_code,9551.0,18.365616165846507,56.75054560094657,1.0,1.0,1.0,1.0,216.0
latitude,9551.0,25.854380700074756,11.007935124784668,-41.330428,28.4787126,28.57046888,28.6427582,55.97698
longitude,9551.0,64.12657446168706,41.46705784761728,-157.948486,77.08134305,77.1919642,77.2820063,174.8320893
average_cost_for_two,9551.0,1199.2107632708617,16121.183073499644,0.0,250.0,400.0,700.0,800000.0
has_table_booking,9551.0,0.12124384881164275,0.32642753308126476,0.0,0.0,0.0,0.0,1.0
has_online_delivery,9551.0,0.25662234321013505,0.4367920464141675,0.0,0.0,0.0,1.0,1.0
price_range,9551.0,1.804837189823055,0.905608847397614,1.0,1.0,2.0,2.0,4.0
votes,9551.0,156.909747670401,430.1691453762912,0.0,5.0,31.0,131.0,10934.0
Restaurant ID,9551.0,9051128.349178096,8791521.282104284,53.0,301962.5,6004089.0,18352291.5,18500652.0
Country Code,9551.0,18.365616165846507,56.75054560094657,1.0,1.0,1.0,1.0,216.0
Longitude,9551.0,64.12657446168706,41.46705784761728,-157.948486,77.08134305,77.1919642,77.2820063,174.8320893
Latitude,9551.0,25.854380700074756,11.007935124784668,-41.330428,28.4787126,28.57046888,28.6427582,55.97698
Average Cost for two,9551.0,1199.2107632708617,16121.183073499644,0.0,250.0,400.0,700.0,800000.0
Price range,9551.0,1.804837189823055,0.905608847397614,1.0,1.0,2.0,2.0,4.0
Aggregate rating,9551.0,2.66637001361114,1.5163775396521328,0.0,2.5,3.2,3.7,4.9
Votes,9551.0,156.909747670401,430.1691453762912,0.0,5.0,31.0,131.0,10934.0
name_length,9551.0,15.164171290964298,6.858392492618291,2.0,10.0,14.0,19.0,54.0
address_length,9551.0,53.5366977279866,17.122034691703846,13.0,41.0,52.0,64.0,132.0
num_cuisines,9551.0,2.0646005653858235,1.092724221957231,1.0,1.0,2.0,3.0,8.0
